name,species,longitude,latitude,year,base,sptdist_filter
Chiroxiphia caudata,Chiroxiphia caudata,-47.5612157612,-24.002822271,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-48.893377,-27.0997802,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-45.1554416667,-23.2508277778,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-40.5351640284,-20.0234754093,2023,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-51.0269066667,-30.1562516667,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-42.9672000557,-21.1223176286,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-46.3894559898,-23.3274711689,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-49.4339743926,-24.6325503956,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-43.8565109298,-19.9788886343,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-52.6542617559,-31.9031637009,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-55.63280432,-27.38608407,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-44.2372618,-20.9211492,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-52.6519226,-27.190966,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-41.6415903,-20.3441105,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-49.1274293738,-26.5010777403,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-41.2305307388,-21.0111528526,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-48.672555685,-28.0515353905,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-51.4333912,-27.5589992,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-47.8795190017,-21.983492566,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-40.2704407634,-14.5476349394,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-50.342843,-21.292246,2017,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-54.043524892,-27.2246230156,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-49.4259465,-28.6001947,2023,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-45.0527806,-22.1176641,2015,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-43.4783962369,-22.4699363417,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-42.0405448178,-22.4245706514,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-42.6898591258,-19.3935525878,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-47.5261544376,-22.4127810773,2019,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-52.972673513,-29.7804158489,2023,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-48.5404805229,-25.5837978375,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-45.8243706822,-23.5848624128,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-44.9592328,-22.5767772,2023,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-57.372254692,-28.3297985986,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-48.4926716667,-27.56001,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-44.6587613225,-21.2975554777,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-52.1692687788,-29.2757222879,2018,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-52.4229252747,-31.4426486518,2024,inat,TRUE
Chiroxiphia caudata,Chiroxiphia caudata,-41.087609902,-16.3427248846,2024,inat,TRUE
